"Dataset","PeakNo","Wavenumber","Intensity"
"Polypropylene17.PurpleFiber",3,2919.2,1668.5
"Polypropylene17.PurpleFiber",4,2956.5,1410.5
"Polypropylene17.PurpleFiber",5,1344.4,1078.3
"Polypropylene17.PurpleFiber",6,2843.9,966
"Polypropylene17.PurpleFiber",7,1433.8,928.5
"Polypropylene17.PurpleFiber",8,1204.3,751.1
"Polypropylene17.PurpleFiber",9,1159.8,552.5
"Polypropylene17.PurpleFiber",10,2728.8,327.9
"Polypropylene17.PurpleFiber",11,1254.1,378.8
"Polypropylene17.PurpleFiber",12,841.1,324
"Polypropylene17.PurpleFiber",13,2770.1,234.6
"Polypropylene17.PurpleFiber",14,313.8,271.6
"Polypropylene17.PurpleFiber",15,1596.1,162
"Polypropylene17.PurpleFiber",16,930.6,150.1
"Polypropylene17.PurpleFiber",17,409.1,143.7
"Polypropylene17.PurpleFiber",18,113.6,169.7
"Polypropylene17.PurpleFiber",19,967.9,155.8
"Polypropylene17.PurpleFiber",20,485.2,192.2
"Polypropylene17.PurpleFiber",21,671,209.1
"Polypropylene17.PurpleFiber",22,2010.6,147
"Polypropylene17.PurpleFiber",23,2593.6,116
"Polypropylene17.PurpleFiber",24,3167.7,134.7
"Polypropylene17.PurpleFiber",25,530.5,151.6
"Polypropylene17.PurpleFiber",26,1698.1,97.6
"Polypropylene17.PurpleFiber",27,1918,102.3
"Polypropylene18.PurpleFoam",1,842.8,313.8
"Polypropylene18.PurpleFoam",2,810.6,299
"Polypropylene18.PurpleFoam",3,1459.6,238.3
"Polypropylene18.PurpleFoam",4,1329.1,234.6
"Polypropylene18.PurpleFoam",5,401,239.3
"Polypropylene18.PurpleFoam",6,1154.9,174.4
"Polypropylene18.PurpleFoam",7,1360.8,159.7
"Polypropylene18.PurpleFoam",8,1037.3,136.1
"Polypropylene18.PurpleFoam",9,1220.2,147.3
"Polypropylene18.PurpleFoam",10,742.9,111.8
"Polypropylene18.PurpleFoam",11,1001,147.5
"Polypropylene18.PurpleFoam",12,535.1,103.7
"Polypropylene18.PurpleFoam",13,322.6,104.6
"Polypropylene18.PurpleFoam",14,458.4,104.1
"Polypropylene18.PurpleFoam",15,1260.1,77
"Polypropylene18.PurpleFoam",16,707.4,85.7
"Polypropylene18.PurpleFoam",17,180.6,105
"Polypropylene18.PurpleFoam",18,938.3,83.1
"Polypropylene18.PurpleFoam",19,1563.7,65.2
"Polypropylene18.PurpleFoam",20,260.9,93.3
"Polypropylene18.PurpleFoam",21,1096.4,78.6
"Polypropylene18.PurpleFoam",22,1642.6,72.5
"Polypropylene18.PurpleFoam",23,1763.3,76.2
"Polypropylene19.BlueFiber",1,2879.4,9660.6
"Polypropylene19.BlueFiber",2,2958.7,6881.3
"Polypropylene19.BlueFiber",3,2841.7,4334.1
"Polypropylene19.BlueFiber",4,1455.3,3414.5
"Polypropylene19.BlueFiber",5,1330.8,2655.8
"Polypropylene19.BlueFiber",6,812.1,2996.6
"Polypropylene19.BlueFiber",7,1159.8,2223.8
"Polypropylene19.BlueFiber",8,1540.6,2300.5
"Polypropylene19.BlueFiber",9,1503.4,2430.8
"Polypropylene19.BlueFiber",10,1287,1774.7
"Polypropylene19.BlueFiber",11,970.7,1915.8
"Polypropylene19.BlueFiber",12,403,1514
"Polypropylene19.BlueFiber",13,685.8,1687.9
"Polypropylene19.BlueFiber",14,1209.8,850.3
"Polypropylene19.BlueFiber",15,2724.3,905.6
"Polypropylene19.BlueFiber",16,1036.2,851.1
"Polypropylene19.BlueFiber",17,1084.2,662.8
"Polypropylene19.BlueFiber",18,454.8,680.6
"Polypropylene19.BlueFiber",19,245.5,521.8
"Polypropylene19.BlueFiber",20,173.5,541.9
"Polypropylene19.BlueFiber",21,771.2,381.1
"Polypropylene2.LightBlueFragment",1,2881.2,12830.4
"Polypropylene2.LightBlueFragment",2,2956.1,6964.3
"Polypropylene2.LightBlueFragment",3,1527.4,8243.1
"Polypropylene2.LightBlueFragment",4,1455.3,5599.8
"Polypropylene2.LightBlueFragment",5,2841.3,5638.1
"Polypropylene2.LightBlueFragment",6,1336.3,4188.9
"Polypropylene2.LightBlueFragment",7,1148.7,3029.2
"Polypropylene2.LightBlueFragment",8,841.1,2801.2
"Polypropylene2.LightBlueFragment",9,809.1,2926.2
"Polypropylene2.LightBlueFragment",10,403,1839.2
"Polypropylene2.LightBlueFragment",11,173.5,1232.8
"Polypropylene2.LightBlueFragment",12,682.9,1456.5
"Polypropylene2.LightBlueFragment",13,1036.2,1350.5
"Polypropylene2.LightBlueFragment",14,1215.4,1073.2
"Polypropylene2.LightBlueFragment",15,593.6,873.3
"Polypropylene2.LightBlueFragment",16,451.8,630.4
"Polypropylene2.LightBlueFragment",17,248.6,385.7
"Polypropylene2.LightBlueFragment",18,1002.1,832.8
"Polypropylene2.LightBlueFragment",19,527.5,534.5
"Polypropylene2.LightBlueFragment",20,1564.5,245.3
"Polypropylene20.OrangeFragment",1,2881.6,28740.6
"Polypropylene20.OrangeFragment",2,2958.7,16393.3
"Polypropylene20.OrangeFragment",3,2841.7,13012
"Polypropylene20.OrangeFragment",4,1596.1,9151.6
"Polypropylene20.OrangeFragment",5,1455.3,6548.1
"Polypropylene20.OrangeFragment",6,809.1,7700
"Polypropylene20.OrangeFragment",7,1254.1,6382.6
"Polypropylene20.OrangeFragment",8,1330.8,6581.2
"Polypropylene20.OrangeFragment",9,1157,4205.6
"Polypropylene20.OrangeFragment",10,1398.7,3906.9
"Polypropylene20.OrangeFragment",11,1295.3,3437.9
"Polypropylene20.OrangeFragment",12,844,4218.6
"Polypropylene20.OrangeFragment",13,1363.5,3652.8
"Polypropylene20.OrangeFragment",14,399.9,4382.5
"Polypropylene20.OrangeFragment",15,976.4,3326.8
"Polypropylene20.OrangeFragment",16,1041.8,2698.4
"Polypropylene20.OrangeFragment",17,2722.1,2298.4
"Polypropylene20.OrangeFragment",18,1218.2,2271.8
"Polypropylene20.OrangeFragment",19,533.5,1832.9
"Polypropylene20.OrangeFragment",20,451.8,1560
"Polypropylene20.OrangeFragment",21,173.5,1648.4
"Polypropylene20.OrangeFragment",22,933.5,1127.2
"Polypropylene20.OrangeFragment",23,1630.3,823
"Polypropylene21.WhiteFilm",1,2879.4,24989.6
"Polypropylene21.WhiteFilm",2,2958.7,18616.2
"Polypropylene21.WhiteFilm",3,2839.4,13936.3
"Polypropylene21.WhiteFilm",4,809.1,13205
"Polypropylene21.WhiteFilm",5,1457.9,10326.9
"Polypropylene21.WhiteFilm",6,1162.6,8029
"Polypropylene21.WhiteFilm",7,1328.1,8949.6
"Polypropylene21.WhiteFilm",8,844,8136
"Polypropylene21.WhiteFilm",9,399.9,8321.2
"Polypropylene21.WhiteFilm",10,976.4,7840.7
"Polypropylene21.WhiteFilm",11,116.7,6108.8
"Polypropylene21.WhiteFilm",12,1363.5,6370
"Polypropylene21.WhiteFilm",13,1218.2,6225.5
"Polypropylene21.WhiteFilm",14,1039,5946.7
"Polypropylene21.WhiteFilm",15,173.5,5749.7
"Polypropylene21.WhiteFilm",16,1295.3,5524.8
"Polypropylene21.WhiteFilm",17,454.8,5675.8
"Polypropylene21.WhiteFilm",18,1092.6,4975.9
"Polypropylene21.WhiteFilm",19,1256.8,5338.9
"Polypropylene21.WhiteFilm",20,527.5,5336
"Polypropylene21.WhiteFilm",21,936.4,5065.4
"Polypropylene3.RedFiber",1,807.9,2142.7
"Polypropylene3.RedFiber",2,1162.5,1080.4
"Polypropylene3.RedFiber",3,1360.8,1319.2
"Polypropylene3.RedFiber",4,1457.2,1199
"Polypropylene3.RedFiber",5,969.7,1184.3
"Polypropylene3.RedFiber",6,1326.6,856
"Polypropylene3.RedFiber",7,1225.2,515.9
"Polypropylene3.RedFiber",8,401,709.8
"Polypropylene3.RedFiber",9,842.8,534.1
"Polypropylene3.RedFiber",10,1282.3,551.5
"Polypropylene3.RedFiber",11,455.6,427.2
"Polypropylene3.RedFiber",12,1490.6,435.8
"Polypropylene3.RedFiber",13,1591.7,226.6
"Polypropylene3.RedFiber",14,526.6,364
"Polypropylene3.RedFiber",15,1042.5,275.1
"Polypropylene3.RedFiber",16,337.2,318.1
"Polypropylene3.RedFiber",17,249.1,260.5
"Polypropylene3.RedFiber",18,177.7,193.4
"Polypropylene3.RedFiber",19,745.7,243.6
"Polypropylene3.RedFiber",20,938.3,234
"Polypropylene3.RedFiber",21,1006.2,146.7
"Polypropylene3.RedFiber",22,691,129.9
"Polypropylene3.RedFiber",23,135.6,94.6
"Polypropylene3.RedFiber",24,775.5,68.5
"Polypropylene4.GreenFragment",1,2881.2,10173
"Polypropylene4.GreenFragment",2,2956.1,6506.8
"Polypropylene4.GreenFragment",3,2839,4729.1
"Polypropylene4.GreenFragment",4,809.1,3510.8
"Polypropylene4.GreenFragment",5,1455.3,2551.1
"Polypropylene4.GreenFragment",6,113.6,2374.9
"Polypropylene4.GreenFragment",7,1157,1953.8
"Polypropylene4.GreenFragment",8,1330.8,2538.9
"Polypropylene4.GreenFragment",9,844,2112.9
"Polypropylene4.GreenFragment",10,399.9,2151.2
"Polypropylene4.GreenFragment",11,1540.6,1889.6
"Polypropylene4.GreenFragment",12,976.4,1583.6
"Polypropylene4.GreenFragment",13,1292.5,1148.5
"Polypropylene4.GreenFragment",14,1039,1177.3
"Polypropylene4.GreenFragment",15,1215.4,1241.5
"Polypropylene4.GreenFragment",16,2722.1,1259.3
"Polypropylene4.GreenFragment",17,685.8,1538.5
"Polypropylene4.GreenFragment",18,527.5,1082.9
"Polypropylene4.GreenFragment",19,457.9,1197.8
"Polypropylene4.GreenFragment",20,1506.1,1454.2
"Polypropylene4.GreenFragment",21,933.5,928.6
"Polypropylene4.GreenFragment",22,3075.5,896
"Polypropylene4.GreenFragment",23,896.1,1022.2
"Polypropylene4.GreenFragment",24,771.2,627.7
"Polypropylene4.GreenFragment",25,647.3,594.3
"Polypropylene5.GreenFiber",1,1454.9,153.8
"Polypropylene5.GreenFiber",2,1336.4,184.2
"Polypropylene5.GreenFiber",3,1528.4,175.1
"Polypropylene5.GreenFiber",4,840.1,160
"Polypropylene5.GreenFiber",5,1149.8,134.1
"Polypropylene5.GreenFiber",6,748.4,147.6
"Polypropylene5.GreenFiber",7,401,106.7
"Polypropylene5.GreenFiber",8,682.7,103.2
"Polypropylene5.GreenFiber",9,1991.9,50.6
"Polypropylene5.GreenFiber",10,959.3,39.6
"Polypropylene5.GreenFiber",11,1837,50.9
"Polypropylene5.GreenFiber",12,255,53.6
"Polypropylene5.GreenFiber",13,171.7,22.7
"Polypropylene5.GreenFiber",14,481.3,49
"Polypropylene5.GreenFiber",15,1045.1,36.1
"Polypropylene5.GreenFiber",16,1874.5,33.4
"Polypropylene5.GreenFiber",17,1101.5,46.5
"Polypropylene5.GreenFiber",18,1116.8,57.2
"Polypropylene5.GreenFiber",19,1182.6,26.6
"Polypropylene5.GreenFiber",20,1197.7,51.2
"Polypropylene5.GreenFiber",21,1598.7,14.1
"Polypropylene5.GreenFiber",22,1927,63.3
"Polypropylene6.ClearFragment",1,2881.2,31423.9
"Polypropylene6.ClearFragment",2,2956.1,18868.3
"Polypropylene6.ClearFragment",3,2839,18325.3
"Polypropylene6.ClearFragment",4,1457.9,13403.3
"Polypropylene6.ClearFragment",5,1330.8,12385.4
"Polypropylene6.ClearFragment",6,1157,10286.3
"Polypropylene6.ClearFragment",7,844,11060.8
"Polypropylene6.ClearFragment",8,806.2,10430.8
"Polypropylene6.ClearFragment",9,1363.5,9299.6
"Polypropylene6.ClearFragment",10,1218.2,9029.2
"Polypropylene6.ClearFragment",11,2724.3,8608.8
"Polypropylene6.ClearFragment",12,119.9,7412.1
"Polypropylene6.ClearFragment",13,1039,8569.3
"Polypropylene6.ClearFragment",14,1295.3,8144.5
"Polypropylene6.ClearFragment",15,399.9,9203.5
"Polypropylene6.ClearFragment",16,985,7406.8
"Polypropylene6.ClearFragment",17,2807.8,7536
"Polypropylene6.ClearFragment",18,1106.7,7494.3
"Polypropylene6.ClearFragment",19,939.2,7738.9
"Polypropylene6.ClearFragment",20,899,7407.5
"Polypropylene6.ClearFragment",21,173.5,7408.4
"Polypropylene7.GreenFragment",1,2885.7,2297.2
"Polypropylene7.GreenFragment",2,2953.9,1340
"Polypropylene7.GreenFragment",3,1530,1783.9
"Polypropylene7.GreenFragment",4,1455.3,1072.8
"Polypropylene7.GreenFragment",5,1339,953.7
"Polypropylene7.GreenFragment",6,2839,996
"Polypropylene7.GreenFragment",7,844,759.3
"Polypropylene7.GreenFragment",8,1148.7,582.5
"Polypropylene7.GreenFragment",9,113.6,490.6
"Polypropylene7.GreenFragment",10,682.9,481.2
"Polypropylene7.GreenFragment",11,403,361.3
"Polypropylene7.GreenFragment",12,1215.4,323.9
"Polypropylene7.GreenFragment",13,548.6,292.9
"Polypropylene7.GreenFragment",14,590.6,303.1
"Polypropylene7.GreenFragment",15,744.8,298.6
"Polypropylene7.GreenFragment",16,1041.8,276.8
"Polypropylene7.GreenFragment",17,2719.8,249.5
"Polypropylene7.GreenFragment",18,176.6,265.4
"Polypropylene7.GreenFragment",19,491.3,236.6
"Polypropylene7.GreenFragment",20,448.8,216
"Polypropylene7.GreenFragment",21,3056.1,222.5
"Polypropylene7.GreenFragment",22,254.8,198
"Polypropylene7.GreenFragment",23,999.2,234.3
"Polypropylene7.GreenFragment",24,641.3,205.2
"Polypropylene7.GreenFragment",25,2271.4,196.3
"Polypropylene7.GreenFragment",26,967.9,190.2
"Polypropylene7.GreenFragment",27,2138.6,194.5
"Polypropylene7.GreenFragment",28,2670.5,179.5
"Polypropylene7.GreenFragment",29,893.2,177.2
"Polypropylene7.GreenFragment",30,1256.8,176.7
"Polypropylene8.YellowFragment",1,1598.8,20957.1
"Polypropylene8.YellowFragment",2,1254.1,6331.9
"Polypropylene8.YellowFragment",3,1398.7,5708.8
"Polypropylene8.YellowFragment",4,2881.6,4946.6
"Polypropylene8.YellowFragment",5,2960.8,3909
"Polypropylene8.YellowFragment",6,1154.2,3530.3
"Polypropylene8.YellowFragment",7,1522,2936.2
"Polypropylene8.YellowFragment",8,1292.5,3184.7
"Polypropylene8.YellowFragment",9,2841.7,2760.3
"Polypropylene8.YellowFragment",10,113.6,3322.4
"Polypropylene8.YellowFragment",11,817.9,1856.8
"Polypropylene8.YellowFragment",12,656.2,2212.9
"Polypropylene8.YellowFragment",13,173.5,1930.9
"Polypropylene8.YellowFragment",14,276.6,1748.1
"Polypropylene8.YellowFragment",15,1452.6,1365.3
"Polypropylene8.YellowFragment",16,910.5,1623.8
"Polypropylene8.YellowFragment",17,1635.5,1267.7
"Polypropylene8.YellowFragment",18,617.5,1764
"Polypropylene8.YellowFragment",19,347.7,1686.6
"Polypropylene8.YellowFragment",20,1325.4,1422.3
"Polypropylene8.YellowFragment",21,1561.8,1288.1
"Polypropylene8.YellowFragment",22,578.6,1162.2
"Polypropylene8.YellowFragment",23,1007.8,1402.9
"Polypropylene8.YellowFragment",24,741.8,1192.2
"Polypropylene8.YellowFragment",25,217.4,1295.6
"Polypropylene8.YellowFragment",26,1674.7,1381.1
"Polypropylene8.YellowFragment",27,1041.8,1182.8
"Polypropylene8.YellowFragment",28,403,1205.1
"Polypropylene8.YellowFragment",29,2015.5,973.1
"Polypropylene8.YellowFragment",30,491.3,1148
"Polypropylene8.YellowFragment",31,3193.1,759.6
"Polypropylene8.YellowFragment",32,2312,526.8
"Polypropylene9.BlueFiber",1,2879.4,8305.4
"Polypropylene9.BlueFiber",2,2919.2,6214
"Polypropylene9.BlueFiber",3,2956.5,5202.5
"Polypropylene9.BlueFiber",4,1527.4,5730.6
"Polypropylene9.BlueFiber",5,1452.6,3328.3
"Polypropylene9.BlueFiber",6,1336.3,2737.2
"Polypropylene9.BlueFiber",7,602.6,1542.3
"Polypropylene9.BlueFiber",8,439.6,1447.3
"Polypropylene9.BlueFiber",9,1148.7,1389.6
"Polypropylene9.BlueFiber",10,841.1,1286.8
"Polypropylene9.BlueFiber",11,685.8,1076.1
"Polypropylene9.BlueFiber",12,113.6,852.5
"Polypropylene9.BlueFiber",13,239.2,725.1
"Polypropylene9.BlueFiber",14,2726.5,620.7
"Polypropylene9.BlueFiber",15,965,433.2
"Polypropylene9.BlueFiber",16,1564.5,426.7
"Polypropylene9.BlueFiber",17,1039,539
"Polypropylene9.BlueFiber",18,3052.1,429.4
"Polypropylene9.BlueFiber",19,747.7,428
"Polypropylene9.BlueFiber",20,182.9,330
"Polypropylene9.BlueFiber",21,1234.8,318.5
"Polypropylene9.BlueFiber",22,3165.6,256.7
"Polystyrene1.YellowFragment",1,3056.1,2932.6
"Polystyrene1.YellowFragment",2,1002.1,3753.1
"Polystyrene1.YellowFragment",3,2912.1,1406.7
"Polystyrene1.YellowFragment",4,1604,1506.3
"Polystyrene1.YellowFragment",5,1039,1353.3
"Polystyrene1.YellowFragment",6,226.7,962
"Polystyrene1.YellowFragment",7,1196,849.1
"Polystyrene1.YellowFragment",8,2977.9,912
"Polystyrene1.YellowFragment",9,418.3,729.5
"Polystyrene1.YellowFragment",10,2854.6,779.4
"Polystyrene1.YellowFragment",11,924.9,707.9
"Polystyrene1.YellowFragment",12,353.9,792.6
"Polystyrene1.YellowFragment",13,835.3,688.6
"Polystyrene1.YellowFragment",14,569.6,646.3
"Polystyrene1.YellowFragment",15,494.3,588.8
"Polystyrene1.YellowFragment",16,747.7,577.5
"Polystyrene1.YellowFragment",17,626.4,624.4
"Polystyrene1.YellowFragment",18,1151.4,599
"Polystyrene1.YellowFragment",19,3194.9,505.3
"Polystyrene1.YellowFragment",20,2541,552.6
"Polystyrene1.YellowFragment",21,2429.8,506.7
"Polystyrene1.YellowFragment",22,2595.8,508.2
"Polystyrene1.YellowFragment",23,656.2,488.8
"Polystyrene1.YellowFragment",24,1447.2,516.4
"Polystyrene1.YellowFragment",25,285.9,439
"Polystyrene1.YellowFragment",26,3255.9,450.4
"Polystyrene1.YellowFragment",27,2119,460.5
"Polystyrene2.ClearSphere",1,113.6,14395.1
"Polystyrene2.ClearSphere",2,999.2,19557.7
"Polystyrene2.ClearSphere",3,3056.1,12593
"Polystyrene2.ClearSphere",4,1036.2,6377.8
"Polystyrene2.ClearSphere",5,2907.7,5049.7
"Polystyrene2.ClearSphere",6,1193.2,4133.2
"Polystyrene2.ClearSphere",7,1601.4,4724.6
"Polystyrene2.ClearSphere",8,223.6,3468.2
"Polystyrene2.ClearSphere",9,2852.4,2791.5
"Polystyrene2.ClearSphere",10,794.6,2645.5
"Polystyrene2.ClearSphere",11,623.5,3185.5
"Polystyrene2.ClearSphere",12,2973.6,2222.5
"Polystyrene2.ClearSphere",13,2999.7,2330.3
"Polystyrene2.ClearSphere",14,415.2,2056.5
"Polystyrene2.ClearSphere",15,1070.1,2054.9
"Polystyrene2.ClearSphere",16,750.7,1942.6
"Polystyrene2.ClearSphere",17,922,1636.1
"Polystyrene2.ClearSphere",18,838.2,1578.2
"Polystyrene2.ClearSphere",19,965,1197.3
"Polystyrene2.ClearSphere",20,347.7,1450.9
"Polystyrene2.ClearSphere",21,485.2,1336.9
"Polystyrene2.ClearSphere",22,1447.2,1473.5
"Polystyrene2.ClearSphere",23,560.6,1323.3
"Polystyrene2.ClearSphere",24,1695.5,1198.6
"Polystyrene2.ClearSphere",25,2483.3,1090.3
"Polystyrene2.ClearSphere",26,659.1,966.9
"Polystyrene3.BlueFragment",1,1527.4,35638.9
"Polystyrene3.BlueFragment",2,1339,17895.6
"Polystyrene3.BlueFragment",3,1452.6,16684.3
"Polystyrene3.BlueFragment",4,1002.1,13226.8
"Polystyrene3.BlueFragment",5,113.6,8156.4
"Polystyrene3.BlueFragment",6,3054.3,7410.4
"Polystyrene3.BlueFragment",7,682.9,9307.1
"Polystyrene3.BlueFragment",8,1145.9,6936.6
"Polystyrene3.BlueFragment",9,1039,5744.5
"Polystyrene3.BlueFragment",10,1196,5534.1
"Polystyrene3.BlueFragment",11,838.2,4882.1
"Polystyrene3.BlueFragment",12,590.6,5894.3
"Polystyrene3.BlueFragment",13,1598.8,4888.3
"Polystyrene3.BlueFragment",14,2901.5,4900.5
"Polystyrene3.BlueFragment",15,1306.2,5617.6
"Polystyrene3.BlueFragment",16,1484.7,4905.1
"Polystyrene3.BlueFragment",17,750.7,4934.6
"Polystyrene3.BlueFragment",18,794.6,3864.3
"Polystyrene3.BlueFragment",19,1417.6,2651.2
"Polystyrene3.BlueFragment",20,1374.3,2674.2
"Polystyrene3.BlueFragment",21,1106.7,2736.1
"Polystyrene3.BlueFragment",22,223.6,1760.9
"Polystyrene3.BlueFragment",23,412.1,1548.5
"Polystyrene3.BlueFragment",24,176.6,1315.4
"Polystyrene4.WhiteFilm",1,113.6,1239.7
"Polystyrene4.WhiteFilm",2,999.2,1986.7
"Polystyrene4.WhiteFilm",3,3054.2,1023.8
"Polystyrene4.WhiteFilm",4,1598.8,608.3
"Polystyrene4.WhiteFilm",5,1033.3,401.3
"Polystyrene4.WhiteFilm",6,2905.8,380.7
"Polystyrene4.WhiteFilm",7,1190.4,344.5
"Polystyrene4.WhiteFilm",8,220.5,287.2
"Polystyrene4.WhiteFilm",9,620.5,320.5
"Polystyrene4.WhiteFilm",10,788.7,245.7
"Polystyrene4.WhiteFilm",11,2852.7,202.8
"Polystyrene4.WhiteFilm",12,1447.2,177.1
"Polystyrene4.WhiteFilm",13,1325.4,149.3
"Polystyrene4.WhiteFilm",14,750.7,137.5
"Polystyrene4.WhiteFilm",15,1070.1,108.3
"Polystyrene4.WhiteFilm",16,904.8,103
"Polystyrene4.WhiteFilm",17,551.6,75.9
"Polystyrene4.WhiteFilm",18,403,67.9
"Polystyrene4.WhiteFilm",19,656.2,74.2
"Polystyrene4.WhiteFilm",20,2354.7,61.1
"Polystyrene4.WhiteFilm",21,2425.2,53.1
"Polystyrene5.BlackFoam",1,113.6,5376.2
"Polystyrene5.BlackFoam",2,999.2,5825.8
"Polystyrene5.BlackFoam",3,3056.1,2928
"Polystyrene5.BlackFoam",4,1598.8,1683
"Polystyrene5.BlackFoam",5,1036.2,1343.7
"Polystyrene5.BlackFoam",6,1193.2,1211
"Polystyrene5.BlackFoam",7,220.5,1286.1
"Polystyrene5.BlackFoam",8,2905.5,1110.9
"Polystyrene5.BlackFoam",9,620.5,1119.6
"Polystyrene5.BlackFoam",10,794.6,782.5
"Polystyrene5.BlackFoam",11,1447.2,598.7
"Polystyrene5.BlackFoam",12,753.6,559.1
"Polystyrene5.BlackFoam",13,406,524.4
"Polystyrene5.BlackFoam",14,2973.6,512.3
"Polystyrene5.BlackFoam",15,551.6,441.2
"Polystyrene5.BlackFoam",16,1075.7,337.8
"Polystyrene5.BlackFoam",17,962.1,70.1
"Polystyrene6.BlueFragment",1,116.7,2990.1
"Polystyrene6.BlueFragment",2,1002.1,3312.1
"Polystyrene6.BlueFragment",3,3056.4,2022
"Polystyrene6.BlueFragment",4,1601.4,1378.5
"Polystyrene6.BlueFragment",5,220.5,1136
"Polystyrene6.BlueFragment",6,1193.2,1056.2
"Polystyrene6.BlueFragment",7,1036.2,1221.5
"Polystyrene6.BlueFragment",8,2905.9,1105.8
"Polystyrene6.BlueFragment",9,1449.9,853
"Polystyrene6.BlueFragment",10,2852.8,822.4
"Polystyrene6.BlueFragment",11,1333.5,804.9
"Polystyrene6.BlueFragment",12,797.5,827
"Polystyrene6.BlueFragment",13,3486.6,693.6
"Polystyrene6.BlueFragment",14,2971.8,755.5
"Polystyrene6.BlueFragment",15,3002.3,771.7
"Polystyrene6.BlueFragment",16,623.5,888.8
"Polystyrene6.BlueFragment",17,1532.7,820.2
"Polystyrene6.BlueFragment",18,3163.5,692.8
"Polystyrene6.BlueFragment",19,3203.7,697.4
"Polystyrene6.BlueFragment",20,756.5,669.6
"Polystyrene7.GreenFoam",1,113.6,28095.7
"Polystyrene7.GreenFoam",2,999.2,25264.7
"Polystyrene7.GreenFoam",3,3056.4,8943.5
"Polystyrene7.GreenFoam",4,1601.4,9288.2
"Polystyrene7.GreenFoam",5,1193.2,6160.8
"Polystyrene7.GreenFoam",6,1036.2,7156.3
"Polystyrene7.GreenFoam",7,220.5,6410
"Polystyrene7.GreenFoam",8,1449.9,5113.5
"Polystyrene7.GreenFoam",9,1333.5,3912.5
"Polystyrene7.GreenFoam",10,2905.9,3526.1
"Polystyrene7.GreenFoam",11,1527.4,4560.4
"Polystyrene7.GreenFoam",12,620.5,4667.2
"Polystyrene7.GreenFoam",13,794.6,3396.3
"Polystyrene7.GreenFoam",14,1070.1,2237.6
"Polystyrene7.GreenFoam",15,756.5,2157.4
"Polystyrene7.GreenFoam",16,2852.8,2017.5
"Polystyrene7.GreenFoam",17,838.2,1604.3
"Polystyrene7.GreenFoam",18,1638.1,1241.9
"Polystyrene7.GreenFoam",19,965,692.6
"Polystyrene8.BlueFoam",1,113.6,14187.5
"Polystyrene8.BlueFoam",2,1002.1,12720.7
"Polystyrene8.BlueFoam",3,3056.4,7939.5
"Polystyrene8.BlueFoam",4,1598.8,3941
"Polystyrene8.BlueFoam",5,1193.2,3197.7
"Polystyrene8.BlueFoam",6,1036.2,3565.1
"Polystyrene8.BlueFoam",7,2905.9,2895.9
"Polystyrene8.BlueFoam",8,220.5,2911.6
"Polystyrene8.BlueFoam",9,1449.9,2629.9
"Polystyrene8.BlueFoam",10,1336.3,2240.8
"Polystyrene8.BlueFoam",11,1530,2598.4
"Polystyrene8.BlueFoam",12,620.5,2367.4
"Polystyrene8.BlueFoam",13,2852.8,1380.6
"Polystyrene8.BlueFoam",14,794.6,1523.2
"Polystyrene8.BlueFoam",15,1072.9,1115.8
"Polystyrene8.BlueFoam",16,756.5,1068
"Polystyrene8.BlueFoam",17,2974,967.3
"Polystyrene8.BlueFoam",18,1638.1,552.5
"Polystyrene9.BlueFoam",1,113.6,3271.4
"Polystyrene9.BlueFoam",2,1002.1,3107.5
"Polystyrene9.BlueFoam",3,3056.4,1760.5
"Polystyrene9.BlueFoam",4,1601.4,1101.1
"Polystyrene9.BlueFoam",5,1039,789.7
"Polystyrene9.BlueFoam",6,1193.2,750.5
"Polystyrene9.BlueFoam",7,2903.7,677.3
"Polystyrene9.BlueFoam",8,220.5,723.2
"Polystyrene9.BlueFoam",9,620.5,746.2
"Polystyrene9.BlueFoam",10,794.6,549.9
"Polystyrene9.BlueFoam",11,1328.1,410.5
"Polystyrene9.BlueFoam",12,753.6,408.1
"Polystyrene9.BlueFoam",13,1447.2,412.8
"Polystyrene9.BlueFoam",14,418.3,363.6
"Polystyrene9.BlueFoam",15,2852.8,377.9
"Polystyrene9.BlueFoam",16,545.6,345.8
"Polystyrene9.BlueFoam",17,1072.9,351.6
"Polystyrene9.BlueFoam",18,841.1,333.3
"Polystyrene9.BlueFoam",19,659.1,286.5
"Polystyrene9.BlueFoam",20,3002.3,309.8
"Polystyrene9.BlueFoam",21,2971.8,308
"Polystyrene9.BlueFoam",22,910.5,282
"Polystyrene9.BlueFoam",23,347.7,303.2
"Polystyrene9.BlueFoam",24,962.1,216.8
"Polystyrene9.BlueFoam",25,1847.1,169.1
"Polystyrene9.BlueFoam",26,292.1,204.9
"Polystyrene-co-PolyvinylChloride1.ClearFilm",1,71,19453.8
"Polystyrene-co-PolyvinylChloride1.ClearFilm",2,2912.1,4677.9
"Polystyrene-co-PolyvinylChloride1.ClearFilm",3,998.1,4874.7
"Polystyrene-co-PolyvinylChloride1.ClearFilm",4,3056.1,2357.2
"Polystyrene-co-PolyvinylChloride1.ClearFilm",5,1189.3,1736.9
"Polystyrene-co-PolyvinylChloride1.ClearFilm",6,1605.6,1770
"Polystyrene-co-PolyvinylChloride1.ClearFilm",7,628.2,1466.7
"Polystyrene-co-PolyvinylChloride1.ClearFilm",8,1035,1566.5
