"colstrip"
"white"
"antiquewhite"
"aquamarine"
"bisque"
"black"
"blue"
"brown"
"burlywood"
"cadetblue"
"chartreuse"
"chocolate"
"coral"
"cornsilk"
"cyan"
"darkgray"
"darkgreen"
"darkolivegreen"
"darkorange"
"darkorchid"
"darkseagreen"
"darkslategray"
"deeppink"
"deepskyblue"
"dimgray"
"dodgerblue"
"firebrick"
"gold"
"goldenrod"
"gray"
"honeydew"
"hotpink"
"indianred"
"ivory"
"khaki"
"lavenderblush"
"lemonchiffon"
"lightblue"
"lightcyan"
"lightgoldenrod"
"lightgreen"
"lightgray"
"lightpink"
"lightsalmon"
"lightseagreen"
"lightskyblue"
"lightslateblue"
"lightslategray"
"lightsteelblue"
"lightyellow"
"magenta"
"maroon"
"mediumorchid"
"mediumpurple"
"midnightblue"
"mistyrose"
"navajowhite"
"navy"
"olivedrab"
"orange"
"orangered"
"orchid"
"palegreen"
"paleturquoise"
"palevioletred"
"peachpuff"
"peru"
"pink"
"plum"
"purple"
"red"
"rosybrown"
"royalblue"
"salmon"
"seagreen"
"seashell"
"sienna"
"skyblue"
"slateblue"
"slategray"
"snow"
"springgreen"
"steelblue"
"tan"
"thistle"
"tomato"
"turquoise"
"violet"
"violetred"
"wheat"
"yellow"
