"X","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","C13","C14","C15","C16","C17","C18","C19","C20","C21","C22"
"R33",0,-6.4,2.062e-07,-6.4,0.01337,-6.4,0.2183,-6.4,0.06495,-6.4,0.002298,-6.4,2.363e-05,-6.4,1.121e-07,-6.4,3.18e-10,-6.4,0,-6.4,0,-6.4
"R34",0,-6.6,7.798e-08,-6.6,0.008363,-6.6,0.2048,-6.6,0.08221,-6.6,0.003623,-6.6,4.397e-05,-6.6,2.372e-07,-6.6,7.456e-10,-6.6,0,-6.6,0,-6.6
"R35",0,-6.8,2.908e-08,-6.8,0.005098,-6.8,0.1864,-6.8,0.101,-6.8,0.005555,-6.8,7.971e-05,-6.8,4.9e-07,-6.8,1.709e-09,-6.8,0,-6.8,0,-6.8
"R36",0,-7,1.07e-08,-7,0.003032,-7,0.1647,-7,0.1205,-7,0.008284,-7,0.0001408,-7,9.882e-07,-7,3.831e-09,-7,0,-7,0,-7
"R37",0,-7.2,3.891e-09,-7.2,0.001761,-7.2,0.1415,-7.2,0.1396,-7.2,0.01202,-7.2,0.0002426,-7.2,1.946e-06,-7.2,8.403e-09,-7.2,0,-7.2,0,-7.2
"R38",0,-7.4,1.398e-09,-7.4,0.0009997,-7.4,0.1183,-7.4,0.1574,-7.4,0.01699,-7.4,0.0004075,-7.4,3.745e-06,-7.4,1.803e-08,-7.4,0,-7.4,0,-7.4
"R39",0,-7.6,4.969e-10,-7.6,0.0005556,-7.6,0.09626,-7.6,0.1726,-7.6,0.02338,-7.6,0.000668,-7.6,7.044e-06,-7.6,3.788e-08,-7.6,1.267e-10,-7.6,0,-7.6
"R40",0,-7.8,1.747e-10,-7.8,0.0003024,-7.8,0.07637,-7.8,0.1844,-7.8,0.03137,-7.8,0.001069,-7.8,1.295e-05,-7.8,7.791e-08,-7.8,2.857e-10,-7.8,0,-7.8
"R41",0,-8,0,-8,0.0001614,-8,0.05911,-8,0.192,-8,0.04105,-8,0.001671,-8,2.329e-05,-8,1.569e-07,-8,6.317e-10,-8,0,-8
"R42",0,-8.2,0,-8.2,8.455e-05,-8.2,0.04466,-8.2,0.1949,-8.2,0.05242,-8.2,0.002551,-8.2,4.098e-05,-8.2,3.097e-07,-8.2,1.37e-09,-8.2,0,-8.2
"R43",0,-8.4,0,-8.4,4.35e-05,-8.4,0.03298,-8.4,0.193,-8.4,0.06533,-8.4,0.003806,-8.4,7.057e-05,-8.4,5.989e-07,-8.4,2.917e-09,-8.4,0,-8.4
"R44",0,-8.6,0,-8.6,2.199e-05,-8.6,0.02381,-8.6,0.1866,-8.6,0.07952,-8.6,0.005553,-8.6,0.000119,-8.6,1.135e-06,-8.6,6.092e-09,-8.6,0,-8.6
"R45",0,-8.8,0,-8.8,1.094e-05,-8.8,0.01682,-8.8,0.1763,-8.8,0.09459,-8.8,0.007923,-8.8,0.0001964,-8.8,2.11e-06,-8.8,1.249e-08,-8.8,0,-8.8
"R46",0,-9,0,-9,5.352e-06,-9,0.01164,-9,0.1628,-9,0.11,-9,0.01106,-9,0.0003175,-9,3.845e-06,-9,2.514e-08,-9,1.042e-10,-9
"R47",0,-9.2,0,-9.2,2.58e-06,-9.2,0.00789,-9.2,0.147,-9.2,0.1251,-9.2,0.01512,-9.2,0.000503,-9.2,6.875e-06,-9.2,4.968e-08,-9.2,2.242e-10,-9.2
"R48",0,-9.4,0,-9.4,1.225e-06,-9.4,0.005245,-9.4,0.1299,-9.4,0.1391,-9.4,0.02022,-9.4,0.000781,-9.4,1.206e-05,-9.4,9.644e-08,-9.4,4.74e-10,-9.4
"R49",0,-9.6,0,-9.6,5.738e-07,-9.6,0.003421,-9.6,0.1124,-9.6,0.1515,-9.6,0.0265,-9.6,0.001189,-9.6,2.076e-05,-9.6,1.839e-07,-9.6,9.855e-10,-9.6
"R50",0,-9.8,0,-9.8,2.651e-07,-9.8,0.002191,-9.8,0.09526,-9.8,0.1616,-9.8,0.03403,-9.8,0.001775,-9.8,3.508e-05,-9.8,3.446e-07,-9.8,2.015e-09,-9.8
"R51",0,-10,0,-10,1.209e-07,-10,0.001378,-10,0.07914,-10,0.1689,-10,0.04283,-10,0.002599,-10,5.82e-05,-10,6.346e-07,-10,4.053e-09,-10
"R52",0,-10.2,0,-10.2,5.445e-08,-10.2,0.0008519,-10.2,0.06446,-10.2,0.1729,-10.2,0.05284,-10.2,0.003735,-10.2,9.483e-05,-10.2,1.149e-06,-10.2,8.02e-09,-10.2
"R53",0,-10.4,0,-10.4,2.423e-08,-10.4,0.0005179,-10.4,0.05152,-10.4,0.1736,-10.4,0.06394,-10.4,0.005266,-10.4,0.0001518,-10.4,2.044e-06,-10.4,1.562e-08,-10.4
"R54",0,-10.6,0,-10.6,1.066e-08,-10.6,0.0003098,-10.6,0.04041,-10.6,0.1709,-10.6,0.07591,-10.6,0.007291,-10.6,0.0002387,-10.6,3.577e-06,-10.6,2.992e-08,-10.6
"R55",0,-10.8,0,-10.8,4.634e-09,-10.8,0.0001824,-10.8,0.03113,-10.8,0.1652,-10.8,0.08844,-10.8,0.009911,-10.8,0.0003688,-10.8,6.157e-06,-10.8,5.644e-08,-10.8
"R56",0,-11,0,-11,1.994e-09,-11,0.0001058,-11,0.02355,-11,0.1566,-11,0.1012,-11,0.01323,-11,0.0005602,-11,1.042e-05,-11,1.048e-07,-11
"R57",0,-11.2,0,-11.2,8.488e-10,-11.2,6.046e-05,-11.2,0.01752,-11.2,0.1459,-11.2,0.1136,-11.2,0.01736,-11.2,0.0008366,-11.2,1.736e-05,-11.2,1.916e-07,-11.2
"R58",0,-11.4,0,-11.4,3.577e-10,-11.4,3.405e-05,-11.4,0.01281,-11.4,0.1334,-11.4,0.1253,-11.4,0.02238,-11.4,0.001229,-11.4,2.846e-05,-11.4,3.449e-07,-11.4
