"Unit","Group","SampleID","Notes","Easting","Northing","Depth_upper","Depth_lower","Depth_mean","Zone","EC","EC_units","pH","MP_fibres","MP_fragments","MP_films","MP_beads","MP_other","Al","As","Ba","Ca","Cd","Ce","Co","Cr","Cu","Fe","Ga","Gd","K","La","Li","Mg","Mn","Mo","Na","Nd","Ni","P","Pb","Rb","S","Sc","Sr","Th","Ti","V","Y","Zn"
"ENVT3361","2","2025-S02","",400320,6468252,20,30,25,"Pond_M",4.97,"mS",7.09,NA,NA,NA,NA,NA,57923,2.8,121.6,2266,0.072,321.9,11.51,67.9,73.6,34376,11.95,19.135,3684,132.75,72.05,4372,56.7,1.307,9968,108.272,32.3,507.1,33.8,70.7,1621,10.645,83.72,22.269,317.5,77.64,77.134,157
"ENVT3361","2","2025-S02","",400320,6468252,30,40,35,"Pond_M",4.16,"mS",6.82,NA,NA,NA,NA,NA,52010,14.4,99.5,3358,0.048,206.3,11.69,68.4,252.9,46056,14.52,12.547,3646,93.67,48.73,5545,63.6,1.503,15574,68.828,29.02,1505.3,148.7,68.3,2283,10.132,115.57,21.067,389.2,75.16,47.664,311.1
"ENVT3361","2","2025-S02","",400324,6468254,0,10,5,"Pond_M",8.43,"mS",6.96,NA,NA,NA,NA,NA,53430,3.78,128.4,2119,0.011,370.1,11.76,64.2,84.5,35713,10.6,20.595,3637,161.65,70.57,4206,66.7,0.801,9254,119.886,32.34,588.3,33.2,66.3,1652,10.086,131.84,21.299,353.8,69.61,89.688,137.5
"ENVT3361","2","2025-S02","",400324,6468254,10,20,15,"Pond_M",5.53,"mS",6.92,NA,NA,NA,NA,NA,35975,8.98,58.5,5005,0.21,143.2,20.03,53,348.2,50060,11.02,9.586,4766,66.5,38.54,8019,99.5,0.767,29770,49.212,23.4,831.7,65.8,72.9,6681,7.794,87.02,17.821,295.4,58.46,33.937,459.3
"ENVT3361","2","2025-S02","",400324,6468254,20,30,25,"Pond_M",3.68,"mS",6.82,NA,NA,NA,NA,NA,43571,20.82,115.2,3501,0.362,179.3,17.01,61,323.1,54789,12.48,11.456,3405,86.94,47,5069,81.8,1.195,13895,59.473,29.99,2124.1,194.7,58.9,2021,8.544,133.04,19.072,305,68.73,42.832,527.5
"ENVT3361","2","2025-S02","",400324,6468254,30,40,35,"Pond_M",4.17,"mS",6.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENVT3361","3","2025-S03","",400302,6468230,0,10,5,"Pond_M",5.03,"mS",7.15,1980,656.85,656.85,0,0,39605,5.87,53.4,3682,0.083,159.9,9.22,59.9,243.7,31041,12.02,9.857,3861,68.77,36.64,5471,60,1.35,17691,54.462,21.5,447.3,67.7,68.4,5537,9.243,63.77,20.936,329.6,65.66,35.165,206
"ENVT3361","3","2025-S03","",400302,6468230,10,20,15,"Pond_M",1994,"µS",6.24,2773.73,0,0,649,0,40701,3.62,78.4,2151,0.087,213.7,7.74,59.1,58.6,32422,11.7,12.612,3191,85.87,37.56,4018,51.9,0.948,10962,71.678,19.09,409.7,32.9,60.6,1295,9.537,46.02,21.91,347.2,71.1,47.678,141.6
"ENVT3361","3","2025-S03","",400302,6468230,20,30,25,"Pond_M",2023,"µS",6.46,2998,0,0,0,0,54022,4.03,96.7,1610,0.028,201,9.12,60.5,27.1,29124,12.97,13.31,3785,71.75,57.87,3525,41.6,1.093,7857,72.019,21.17,195.2,21,66.6,1194,9.322,43.39,19.444,305.2,77.66,44.676,80.3
"ENVT3361","3","2025-S03","",400302,6468230,30,40,35,"Pond_M",2201,"µS",6.21,342,324.04,0,0,0,53842,3.69,74.5,1315,NA,73.6,8.3,55.1,24.8,27800,13.85,5.885,3302,27.34,50.79,3208,34.7,4.516,8352,27.843,17.64,112.4,11.2,52.8,1269,9.056,34.82,16.738,311.2,78.78,15.383,38.2
"ENVT3361","3","2025-S03","",400296,6468228,0,10,5,"Pond_M",5.6,"µS",7.39,2333,0,666.4,0,0,46535,4.28,60.9,3408,0.055,163.8,9.21,65.5,145.5,32235,14.95,9.795,3894,71.96,39.37,5136,61.1,0.782,15714,55.213,21.94,388.8,47.3,75,4234,10.149,58.22,22.831,431.3,68.73,34.437,130.2
"ENVT3361","3","2025-S03","",400296,6468228,10,20,15,"Pond_M",1974,"µS",6.37,0,0,0,0,0,47954,4.37,112.7,1832,NA,182.1,9.05,59.7,34.6,38480,12.8,11.88,3811,68.78,47.93,3778,44.9,1.073,8431,63.568,18.92,246.6,24.7,67.8,1137,9.442,42.27,20.021,280.5,75.77,39.638,84.8
"ENVT3361","3","2025-S03","",NA,NA,NA,NA,NA,"Pond_M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENVT3361","3","2025-S03","",NA,NA,NA,NA,NA,"Pond_M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENVT3361","4","2025-S04","",400196,6468332,0,5,2.5,"Path",322,"µS",7.82,7,NA,NA,NA,NA,24377,6.32,145.8,7724,0.023,51.4,3.59,44.4,19,37369,9.06,3.843,1250,26.35,11.58,1914,73,5.344,830,17.802,7.57,434,24.5,20.5,682,6.248,50.61,14.706,146.6,76.54,7.611,52.1
"ENVT3361","4","2025-S04","",400196,6468332,5,10,7.5,"Path",206.2,"µS",6.3,9,NA,NA,NA,NA,26532,5.66,106.6,4969,0.014,51,3.12,45.8,16.9,36735,10.6,3.808,1045,25.9,11.03,1503,48.4,5.058,950,17.709,7.77,290.5,24.4,19.9,395,6.524,33.49,17.061,219.6,72.71,6.688,34.4
