"Unit","Group","SampleID","Notes","Easting","Northing","Depth_upper","Depth_lower","Depth_mean","Zone","EC","EC_units","pH","MP_fibres","MP_fragments","MP_films","MP_beads","MP_other","Al","As","Ba","Ca","Cd","Ce","Co","Cr","Cu","Fe","Ga","Gd","K","La","Li","Mg","Mn","Mo","Na","Nd","Ni","P","Pb","Rb","S","Sc","Sr","Th","Ti","V","Y","Zn"
"ENVT3361","9","2025-S09","",400393,6468281,0,10,5,"Pond_N",3.88,"mS",7.4,NA,NA,NA,NA,NA,36633,8.73,90.7,4883,0.115,128.5,8.04,44.1,204.6,36122,9.45,9.192,3485,57.22,38.63,7743,53,4.118,38894,48.465,20.52,849.8,56.5,51,10900,6.326,144.84,13.154,252.9,50.83,31.149,208.1
"ENVT3361","9","2025-S09","",400393,6468281,10,20,15,"Pond_N",1.723,"mS",6.11,NA,NA,NA,NA,NA,52405,7.62,109.9,3634,0.014,199.1,7.44,56.5,206.6,34206,11.37,13.234,3847,84.88,53.83,6327,45.7,3.136,27251,71.885,25.07,1016.1,73,61.1,4802,8.157,152.48,17.04,332.5,61.76,48.449,128.6
"ENVT3361","9","2025-S09","",400393,6468281,20,30,25,"Pond_N",4.19,"mS",5.33,NA,NA,NA,NA,NA,51662,3.82,123.7,2135,NA,188.5,6.77,59.6,71.8,31220,11.9,12.119,3785,84.09,58.15,4383,46.6,2.445,13529,67.848,23.33,532.3,41.7,62.4,2561,9.342,156.27,19.432,336.3,68.27,42.296,73.5
"ENVT3361","9","2025-S09","",NA,NA,NA,NA,NA,"Pond_N",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENVT3361","9","2025-S09","",NA,NA,NA,NA,NA,"Pond_N",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENVT3361","10","2025-S10","",400442,6468262,0,10,5,"Saltmarsh",11.51,"mS",5.46,3728,0,0,0,0,40123,8.1,84.4,1682,0.045,64.6,6.64,64.1,79,70712,16.9,6.954,4230,26.5,19.24,5416,82.1,0.723,20901,31.311,17.13,498.5,23,69.4,5073,8.872,64.04,21.101,437.6,74.66,9.852,23.1
"ENVT3361","10","2025-S10","",400442,6468262,10,20,15,"Saltmarsh",8.46,"mS",4.72,2142,0,0,0,0,43129,8.02,154.7,1188,NA,92.6,4.87,51.8,41.7,52880,11.46,8.64,5389,42.1,27.95,3370,46.2,2.779,13277,41.366,12.9,444.5,30.7,50.5,7768,8.038,196.9,14.851,270.9,68.07,13.225,13.5
"ENVT3361","10","2025-S10","",400442,6468262,20,30,25,"Saltmarsh",3.27,"mS",4.42,1986,0,0,331,0,49414,5.57,130.5,982,NA,74.2,5.18,51.5,30.8,47369,11.18,6.525,5381,42.85,33.34,3079,32.3,4.049,11515,30.72,14,297.3,31.9,55.8,6578,8.954,172.14,15.823,215.8,66.11,9.569,11.7
"ENVT3361","10","2025-S10","",400442,6468262,30,40,35,"Saltmarsh",5.46,"mS",4.37,2162,333,0,0,0,51446,12.7,98.5,1012,0.029,30,7.67,58.6,24.1,73739,13.88,4.459,3318,14.77,28.36,3668,34.2,12.812,13808,14.791,10.52,124.6,12.1,59.3,2288,9.385,42.1,16.888,262.3,87.65,4.213,13
"ENVT3361","10","2025-S10","",400442,6468262,40,50,45,"Saltmarsh",6.69,"mS",3.95,1650,330,330,0,0,15969,3.07,83.7,610,NA,24.4,2.18,23.2,8.1,18161,11.37,1.81,1234,11.51,9.28,1391,47.9,3.947,7258,8.526,4.08,40.8,4.8,14.9,1263,3.095,16.52,10.709,549.2,22.01,2.137,9.9
"ENVT3361","10","2025-S10","",400442,6468262,50,60,55,"Saltmarsh",7.66,"mS",3.62,333,0,333,0,0,10186,4.26,27.9,527,0.013,19.3,1.41,19.2,7.1,29853,10.79,1.685,1950,9.32,5.23,1213,45.9,2.84,6297,7.364,2.13,31.5,6.5,10.3,2919,2.189,10.07,9.277,570.4,23.59,1.693,4.4
"ENVT3361","10","2025-S10","",400442,6468262,60,70,65,"Saltmarsh",4.04,"mS",3.89,1964,0,0,0,0,19729,9.63,64.4,703,0.029,19.3,2.78,40.8,13.8,63846,14.05,3.018,6025,9.11,10.03,1775,50.3,3.032,8005,8.501,3.89,33,29.9,21.3,9191,4.692,14.01,13.019,565.1,55.34,2.127,7.3
"ENVT3361","10","2025-S10","",NA,NA,NA,NA,NA,"Saltmarsh",NA,NA,NA,2333,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENVT3361","11","2025-S11","G11 S1",400359,6468258,0,10,5,"Pond_N",8.98,"mS",6.25,4000,0,0,0,0,45149,5.12,98.5,2745,0.029,208.7,6.97,61.7,126.2,25935,13.76,11.462,3704,98.36,46.7,5343,55.4,1.937,18352,65.269,23.3,755.8,134.7,67.9,2641,9.252,121.28,20.084,378.2,64.13,51.399,99.1
"ENVT3361","11","2025-S11","G11 S2",400359,6468258,10,20,15,"Pond_N",7.5,"mS",5.6,0,0,0,0,0,59917,3.44,120.9,2571,0.056,355.5,9.46,67.3,73.4,29345,13.55,20.566,3981,142.1,69.75,5477,53.3,2.023,20646,117.623,33.65,578.9,49.5,74.5,2924,10.348,109.85,22.495,483.7,71.89,90.583,121.1
"ENVT3361","11","2025-S11","G11 S3",400359,6468258,20,25,22.5,"Pond_N",11.52,"mS",6.04,1000,0,0,0,0,47836,3.31,102,2781,0.03,288.5,7.71,59.1,92.1,23689,11.39,15.564,4074,123.34,55.06,6619,47.1,1.247,29766,90.811,27.01,510.2,47.1,72.4,3127,9.152,96.73,20.531,372.2,60.61,71.432,112.6
"ENVT3361","11","2025-S11","G11 S4",400359,6468254,0,10,5,"Pond_N",3.52,"mS",5.78,667,0,0,0,0,48632,6.56,93.4,1975,NA,238.9,7.98,66.7,123.1,30282,13.91,13.045,3535,109.27,47.62,4429,53.4,0.939,13199,75.429,25.43,674.1,67.4,70,1593,10.181,62.14,23.669,361.3,70.65,58.531,93.3
"ENVT3361","11","2025-S11","G11 S5",400359,6468254,10,20,15,"Pond_N",7.8,"mS",6.11,1000,0,0,0,0,51795,3.89,112.3,1665,NA,292.3,9.51,66.8,59,31045,12.73,16.116,3453,122.94,59.91,4168,50.9,1.08,11551,93.856,30.69,498.4,41.2,65.1,1442,10.068,67.5,22.679,390.8,71.81,73.58,113.9
"ENVT3361","11","2025-S11","G11 S6",400359,6468254,20,30,25,"Pond_N",7.63,"mS",5.46,1667,0,0,0,0,53096,2.98,103.3,1725,0.034,269.7,8.95,60.3,47.7,25186,10.67,18.665,3478,95.53,68.47,4164,39.2,1.863,13231,101.606,33.35,509.8,37.1,61.1,2017,9.194,69.54,19.199,284.3,68.03,65.75,113.3
"ENVT3361","11","2025-S11","G11 S7",400364,6468254,0,10,5,"Pond_N",4.52,"mS",5.68,1667,0,0,0,0,49696,6.06,115.7,2058,0.023,214.2,8.68,67.7,140.9,29320,14.52,12.562,3495,90.83,55.7,4127,51,1.105,11205,70.775,29.89,748.5,68.1,64.1,1931,9.795,76.26,21.904,363.2,67.47,48.626,133.2
"ENVT3361","11","2025-S11","G11 S8",400364,6468254,10,20,15,"Pond_N",7.99,"mS",5.57,0,0,0,0,0,51890,4.26,112.4,2247,0.053,295.1,9.07,64.1,114,27964,11.57,18.02,3595,112.62,63.39,4597,53.4,1.621,16549,101.838,31.63,730.2,52,67.5,2607,9.787,81.07,21.932,310.6,71.37,74.1,130.4
"ENVT3361","11","2025-S11","G11 S9",400364,6468254,20,30,25,"Pond_N",7.98,"mS",5.45,1333,0,0,0,0,55780,2.41,103.4,1526,NA,228.8,7.75,54.5,38,29643,10.49,15.626,3472,80.56,70.56,4055,37.5,3.303,15192,85.616,26.31,288.8,31.5,55,2242,8.861,78.66,18.578,276,64.19,54.01,75.1
"ENVT4461","12","2025-S12","",400320,6468211,0,10,5,"Pond_M",7.33,"",5.09,5333,333,0,333,0,39684,16.61,101.2,2981,0.131,149.6,12.77,62,365.7,55621,13.43,10.095,3988,69.94,41.14,4811,65.9,2.587,17080,50.719,22.56,1556.5,161.2,67.8,4797,8.65,119.61,20.858,317,68.78,33.668,322.9
"ENVT4461","12","2025-S12","",400320,6468221,10,20,15,"Pond_M",2.83,"",6.36,8000,3000,0,0,0,61031,5.63,110.9,1443,NA,192,9.67,73.6,110.1,45231,16.78,13.474,4030,70,57.83,4052,62,1.853,7990,69.893,21.94,417.3,56.9,84.6,1276,11.852,47.63,25.722,355.7,88.57,42.099,127.2
"ENVT4461","12","2025-S12","",NA,NA,20,30,25,"Pond_M",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENVT4461","12","2025-S12","",400320,6468215,0,10,5,"Pond_M",14.31,"",6.62,1667,333,0,333,0,49037,8.25,81.8,2929,0.068,171.9,10.24,71.2,216.8,44633,15.62,10.767,4236,75.25,45.1,4921,72,1.398,15560,59.09,22.23,771.4,99.9,84.4,3122,11.162,63.7,26.467,395.4,79.86,37.439,187.9
"ENVT4461","12","2025-S12","",400320,6468215,10,20,15,"Pond_M",2.9,"",5.67,4000,0,0,0,0,53677,3.05,78.2,1346,NA,150.7,7.76,67.6,108.4,33595,15.67,10.037,3609,53.45,46.28,3607,56.3,1.21,7881,54.516,18.36,295.6,48.8,76.5,1183,10.999,36.02,24.266,373,79.5,28.81,57.6
"ENVT4461","12","2025-S12","",NA,NA,20,30,25,"Pond_M",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENVT4461","12","2025-S12","",400314,6468212,0,10,5,"Pond_M",7.85,"",6.01,2667,333,0,333,0,50576,9.53,94.3,2906,0.048,205.5,10.41,72.7,265.5,45148,15.31,12.172,4193,94.48,45.47,5358,67,2.052,17230,66.636,24.24,1079.2,256.7,80.5,3344,10.974,108.08,24.812,415.7,79.8,46.347,194.2
"ENVT4461","12","2025-S12","",400314,6468212,10,20,15,"Pond_M",5.84,"",6.36,3333,1000,0,0,0,53346,4.15,103.1,1391,NA,183.1,8.07,70.8,99.8,39036,15.68,12.592,3837,62.44,45.65,3935,54.9,1.331,8532,67.619,18.54,277.9,47.7,82.9,1049,11.363,37.92,25.844,374,81.14,37.031,64.2
"ENVT4461","13","2025-S13","",400305,6468204,0,10,5,"Pond_M",7.03,"mS",6.77,NA,NA,NA,NA,NA,42538,7.69,76.2,2519,0.044,156.2,8.19,68,126.2,41647,15.38,9.615,3830,75.83,33.35,5278,65,1.633,17217,51.863,19.89,598,73.8,73.2,2239,10.592,49.52,24.486,390.9,76.09,34.48,123.8
"ENVT4461","13","2025-S13","",400305,6468204,10,20,15,"Pond_M",4.01,"mS",6.25,NA,NA,NA,NA,NA,42913,4.35,82.8,1543,0.022,195.8,8.01,65.1,54.8,34496,13.62,12.102,3726,81.42,36.3,4200,55.3,1.699,10305,65.628,17.38,249.8,35.8,71.8,1126,10.659,35.26,25.246,373.1,75.53,42.734,85
"ENVT4461","13","2025-S13","",400305,6468204,20,30,25,"Pond_M",8.11,"mS",5.8,NA,NA,NA,NA,NA,44015,4.87,81.4,1476,NA,120.9,7.37,58.2,44.7,34452,13.78,8.032,3595,48.75,38.88,4144,46.9,4.35,11846,42.584,14.6,194.8,25.3,66.9,1536,9.736,33.23,20.911,335.1,75.33,26.204,63.4
"ENVT4461","13","2025-S13","",400307,6468206,0,10,5,"Pond_M",11.96,"mS",6.37,NA,NA,NA,NA,NA,36548,9.5,60.6,3336,0.031,127.5,8.27,61.9,168.2,45420,12.22,8.497,3461,59.3,31.24,5484,59.7,2.484,22264,43.699,17.71,813.4,92.3,64.5,3382,8.496,58.59,19.64,307.5,67.76,28.042,150.9
"ENVT4461","13","2025-S13","",400307,6468206,10,20,15,"Pond_M",3.22,"mS",5.84,NA,NA,NA,NA,NA,41296,5.14,90.6,1542,0.012,187.4,7.5,61.3,60.8,37429,13.28,11.341,3626,77.99,32.87,4054,54.9,1.702,10983,62.572,16.96,295.2,36.9,68.7,1126,10.069,36.21,23.921,351.1,77.15,40.393,77.6
"ENVT4461","13","2025-S13","",400307,6468206,20,30,25,"Pond_M",2.29,"mS",5.71,NA,NA,NA,NA,NA,43470,4.38,77.2,1490,NA,136.9,7.36,60.8,41.4,35023,13.86,9.278,3541,52.35,35.77,3930,50.1,2.189,10607,49.178,15.99,242,28.2,67.2,1402,9.589,33.49,21.062,345.1,73.46,28.182,58.5
"ENVT4461","13","2025-S13","",400307,6468205,0,10,5,"Pond_M",4.53,"mS",6.74,NA,NA,NA,NA,NA,41449,6.65,80.1,2069,0.016,141.1,9.74,67,83.2,42212,15.77,9.137,3829,63.9,32.59,4501,79.1,1.302,12450,50.662,20.01,305.8,41.7,72.7,1393,10.7,39.79,26.389,434.8,78.96,29.348,109.3
"ENVT4461","13","2025-S13","",400307,6468205,10,20,15,"Pond_M",6.22,"mS",5.78,NA,NA,NA,NA,NA,50601,6.52,90,1718,NA,158.3,9.89,70,54.2,41428,17.22,10.209,3789,69.98,38.87,4291,79.6,1.537,10741,54.61,21.36,254.1,33.4,79.2,1358,10.977,36.28,25.305,510,80.38,33.753,90.4
"ENVT4461","13","2025-S13","",NA,NA,NA,NA,NA,"Pond_M",NA,"",NA,NA,NA,NA,NA,NA,40843,4.46,85,1122,NA,149.8,7.75,58.3,30.1,33065,12.75,9.837,3589,57.09,35.76,3484,53.9,2.071,7942,52.786,15.6,137.6,22.1,66.9,957,9.498,29.17,22.597,331.8,74.17,31.751,61
"ENVT4461","14","2025-S14","",400482,6468224,0,10,5,"Saltmarsh",6.41,"mS",6.28,333,19301.16,0,0,NA,45884,5.05,74,2952,NA,154.3,8.13,70.3,59.2,40029,17.27,9.985,3694,73.7,29.31,6203,84.9,0.549,22465,57.565,23.75,390.6,20.4,77.4,3241,10.978,58.28,26.041,527.7,74.63,33.514,37.2
"ENVT4461","14","2025-S14","",400482,6468224,10,20,15,"Saltmarsh",7.45,"mS",5.22,989,4947.23,0,0,NA,48079,4.31,111.8,1504,NA,131.1,6.37,68.3,42.3,32272,14.35,9.894,4718,61.24,33.99,4464,60.3,1.653,15812,54.236,19.39,422.3,32.9,64,5264,10.268,206.73,19.465,428.3,70.95,24.078,21.5
"ENVT4461","14","2025-S14","",400482,6468224,20,30,25,"Saltmarsh",5.49,"mS",5.26,1991,3981.74,0,0,NA,54266,5.57,134.4,1605,NA,99.1,5.87,61.9,44.7,40346,13.28,7.153,5805,58.91,42.8,4400,45.2,4.492,18313,36.225,18.52,483.1,50.5,63.6,7505,12.713,292.69,16.66,303.3,74.9,16.189,20.6
