Unit,Type,Easting,Northing,UTM_E_OnBag,UTM_N_OnBag,Depth_upper,Depth_lower,Lab-Field Group,Sample_ID,location_note,pH,EC,EC_units,Fibres,Fragments,Beads,Film,Al,As,Ba,Ca,Cd,Ce,Co,Cr,Cu,Fe,Ga,Gd,K,La,Li,Mg,Mn,Mo,Na,Nd,Ni,P,Pb,Rb,S,Sc,Sr,Th,Ti,V,Y,Zn
ENVT3361,Surface,400437,6468324,400411,6468348,0,10,11,S2023_11.5,transect W of NE pond,6.17,274,µS/cm,NA,NA,NA,NA,44473,7,129,1667,NA,99,10.6,69,89,49693,25,6,2524,48,19,3977,206,1,2212,37,22,353,49,54,950,10,39,17,354,77,18,102
ENVT4461,Surface,400242,6468305,,,0,10,12,S2023_12.1,Transect 1 north of N pond,6.64,6.59,mS/cm,0,500,NA,NA,27182,4,35,3251,NA,99,5,34,32,24302,13,7,2052,40,25,2375,38,3,6267,41,12,171,21,24,1248,5,51,8,179,43,22,40
ENVT4461,Surface,400244,6468278,,,0,10,12,S2023_12.2,Transect 1 north of N pond,6.44,11.92,mS/cm,5500,2000,NA,NA,33658,9,78,4276,0,110,17,46,121,62717,34,8,4572,50,33,8109,82,4,35449,42,20,455,29,63,5895,7,125,13,231,61,28,342
ENVT4461,Surface,400264,6468307,,,0,10,12,S2023_12.3,Transect 2 north of N pond,6.63,4,mS/cm,0,NA,NA,NA,7642,3,21,2584,NA,29,2,13,19,7081,NA,2,790,13,8,1561,58,0,6004,11,4,119,9,7,828,1,26,3,147,13,7,51
ENVT4461,Surface,400264,6468292,,,0,10,12,S2023_12.4,Transect 2 north of N pond,6.6,10.48,mS/cm,1000,NA,0,NA,42847,6,74,8391,0,145,10,49,79,43805,26,10,3898,57,42,6631,183,3,22519,61,23,388,31,54,4325,8,133,12,213,65,31,121
ENVT4461,Surface,400268,6468269,,,0,10,12,S2023_12.5,Transect 2 north of N pond,7.08,8.62,mS/cm,1000,0,NA,NA,34591,5,46,5871,0,200,12,50,118,42551,24,11,4486,91,40,9276,104,2,46255,69,23,526,37,71,6807,8,90,14,251,64,51,271
ENVT4461,Surface,400171,6468308,400212,6468313,0,10,13,S2023_13.1,Transect 1 west of N pond,6.25,3.54,mS/cm,NA,NA,NA,NA,15617,7,47,33374,0,39,4,27,24,35380,16,3,1275,19,12,3032,56,3,10214,15,7,240,22,17,1514,4,116,9,216,38,9,150
ENVT4461,Surface,400171,6468308,400212,6468313,0,10,13,S2023_13.2,Transect 1 west of N pond,6.27,3.85,mS/cm,NA,NA,NA,NA,37434,10,48,5630,0,87,6,47,38,60022,37,7,2261,35,37,3947,46,6,13992,41,16,419,34,34,2774,7,53,10,146,65,18,238
ENVT4461,Surface,400016,6468161,,,0,10,13,S2023_13.3,Transect 1 west of N pond,6.23,3.49,mS/cm,NA,NA,NA,NA,28828,6,52,2962,NA,100,3,47,34,28161,17,6,1487,47,22,2524,29,6,4746,37,10,270,32,26,2551,7,31,15,202,69,21,91
ENVT4461,Surface,400016,6468161,,,0,10,13,S2023_13.4,NW-corner of N pond,6.16,2.71,mS/cm,NA,NA,NA,NA,24793,5,42,3110,0,63,4,42,37,17525,6,3,1503,30,16,3094,34,5,7612,23,10,383,33,24,4607,6,39,13,272,67,11,128
ENVT4461,Surface,400016,6468161,,,0,10,13,S2023_13.5,NW-corner of N pond,6.14,3.14,mS/cm,2000,1000,NA,NA,2841,2,16,131197,0,6,4,9,5,4084,2,NA,197,4,2,2239,82,0,1703,NA,1,324,14,NA,486,0,307,1,43,6,3,97
ENVT4461,Surface,400389,6468331,,,0,10,14,S2023_14.1,The north of N pond,7.06,1006,mS/cm,878,1951,0,0,36367,5,118,11145,0,95,11,58,56,39904,18,5,2220,45,15,2766,304,4,1585,35,19,296,54,42,776,9,58,18,366,70,17,79
ENVT4461,Surface,400387,6468341,,,0,10,14,S2023_14.2,The north of N pond,6.74,588,mS/cm,3400,0,0,0,38489,5,106,7640,0,94,13,61,44,40052,18,5,2601,44,12,3331,358,1,1499,34,21,343,47,44,466,9,49,20,380,66,16,106
ENVT4461,Surface,400388,6468325,,,0,10,14,S2023_14.3,The north of N pond,6.79,653,mS/cm,1379,0,0,0,31555,4,94,9005,0,95,10,54,43,32917,17,5,2000,43,14,2387,315,3,1571,33,17,276,69,40,867,8,45,16,260,63,16,83
ENVT4461,Surface,400376,6468323,,,0,10,14,S2023_14.4,The north of N pond,7.02,850,mS/cm,1359,0,0,0,51239,6,105,6838,0,113,12,68,49,43548,21,6,3055,50,18,3658,414,4,3010,39,23,388,45,54,555,10,59,21,414,77,18,76
ENVT4461,Surface,400367,6468332,,,0,10,14,S2023_14.5,The north of N pond,6.79,387,mS/cm,0,0,0,0,14166,4,53,13894,0,34,3,24,18,19821,8,2,757,15,6,1050,98,2,440,11,7,270,48,13,501,3,39,7,171,31,6,55
ENVT4461,Surface,400010,6467990,,,0,10,15,S2023_15.1,near lower Chapman bridge,4.9,11.36,mS/cm,1400,400,0,0,29370,8,38,4045,0,75,10,55,110,40949,20,4,3392,37,24,6832,50,3,25550,29,18,523,42,56,14893,8,67,17,266,71,16,230
ENVT4461,Surface,400028,6468005,,,0,10,15,S2023_15.2,near lower Chapman bridge,6.07,8.93,mS/cm,2417,417,0,0,39766,8,73,2565,0,108,21,72,82,53370,29,6,3617,54,26,5642,438,1,12151,41,24,648,52,65,1477,11,52,23,351,87,21,212
ENVT4461,Surface,400045,6468020,,,0,10,15,S2023_15.3,near lower Chapman bridge,6,6.66,mS/cm,,,,0,37252,8,60,2578,NA,107,22,70,59,48612,24,6,3335,55,25,4933,270,1,9399,41,25,492,46,60,1417,11,48,21,360,84,23,237
ENVT4461,Surface,399912,6468000,,,0,10,16,S2023_16.1,"transects 1,4 S of SW pond",NA,2.75,mS/cm,0,,,,28876,3,32,4952,NA,63,5,47,53,19303,9,4,3888,32,26,9700,46,4,44051,23,16,420,29,57,13863,7,83,13,239,52,15,104
ENVT4461,Surface,399995,6468638,,,0,10,16,S2023_16.2,"transects 1,4 S of SW pond",NA,7.81,mS/cm,1,,,,18492,5,46,7804,0,33,4,29,39,27714,15,2,4144,17,17,13493,40,5,96618,13,10,540,25,37,30149,4,139,7,152,40,8,167
ENVT4461,Surface,399912,6467984,,,0,10,16,S2023_16.3,"transects 1,4 S of SW pond",NA,6.35,mS/cm,0,,,,30394,3,35,4615,NA,69,6,50,54,21215,9,4,3894,33,28,8311,53,3,35731,25,16,394,29,61,12754,8,78,15,261,53,15,153
ENVT4461,Surface,399912,6467976,,,0,10,16,S2023_16.4,"transects 1,4 S of SW pond",NA,7.88,mS/cm,2,1,,,29971,5,30,5145,0,55,8,52,50,31802,15,3,4482,28,25,10326,81,4,51767,21,17,450,28,61,22642,7,83,13,279,58,13,109
ENVT4461,Surface,399925,6467995,,,0,10,16,S2023_16.5,"transects 1,4 S of SW pond",NA,6.57,mS/cm,1,,,,34513,3,34,3777,NA,75,6,60,56,20346,10,4,4094,37,33,7621,52,2,27382,27,19,348,31,67,8404,9,61,17,295,57,16,161
ENVT4461,Surface,399960,6468000,,,0,10,16,S2023_16.6,"transects 1,4 S of SW pond",NA,8.83,mS/cm,0,,,,17675,6,28,5558,0,47,5,32,37,38204,20,3,4117,23,15,11838,55,6,74701,18,11,517,23,40,32757,5,92,10,161,50,11,124
ENVT4461,Core,400455,6468307,,,0,20,17,S2023_17.1,CORE east of N pond,5.38,5.41,µS/cm,4,2,,,26833,10,66,1770,0,116,6,36,112,42676,22,7,1878,50,21,2856,43,1,8607,39,10,1146,64,32,3107,5,41,12,213,46,26,127
ENVT4461,Core,400467,6468312,,,0,20,17,S2023_17.2,CORE east of N pond,5.41,5.38,µS/cm,3,1,4,,13366,11,40,2612,0,28,4,28,72,20172,9,1,849,13,9,744,34,3,696,10,8,465,38,10,1477,3,24,5,140,29,5,79
