Count_,NUMBER_,LOCATION,MAP_NAME,EAST_1984,NORTH_1984,ZONE_,HOLE,DEPTH_FT,DEPTH_M,PETROLOGY,PET_DESC,Rock,REFERENCE,REF_DESC,ORG_NUMBER,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,CO2,Co,Cr,Cu,Ni,Rb,Sr,V,Y,Zn,Zr,Lith
2,1054,BARLEE,BARLEE,722674.4,6712968,50,,-9999,-9999,EU,epidotized; uralitized,Basalt,JAH,JA Hallberg,CSIR,517000,5800,140000,31000,76000,1800,74000,98000,23900,2300,800,23000,4000,54,105,96,106,15,120,230,23,79,45,BASALT
3,1055,BARLEE,BARLEE,722676.3,6713060,50,,-9999,-9999,EU,epidotized; uralitized,Basalt,JAH,JA Hallberg,CSIR,538000,4400,124000,31000,62000,1800,81000,116000,12400,100,300,25000,2000,58,340,65,103,17,36,182,11,84,29,BASALT
4,1056,BARLEE,BARLEE,722679.9,6713245,50,,-9999,-9999,E,epidotized,Basalt,JAH,JA Hallberg,CSIR,509000,5400,142000,39000,61000,1900,71000,106000,35400,800,700,17000,2000,24,243,60,79,3,59,186,25,41,42,BASALT
5,1057,BARLEE,BARLEE,722683.6,6713429,50,,-9999,-9999,U,uralitized,Basalt,JAH,JA Hallberg,CSIR,506000,5700,144000,28000,78000,2000,76000,1.00E+05,30300,1300,600,19000,0.01,33,214,110,140,1,146,257,30,61,53,BASALT
6,1058,BARLEE,BARLEE,722685.5,6713522,50,,-9999,-9999,U,uralitized,Basalt,JAH,JA Hallberg,CSIR,504000,5900,145000,20000,87000,1900,83000,89000,33300,4700,800,23000,4000,46,225,114,139,22,160,271,30,69,50,BASALT
10,1061,BARLEE,BARLEE,722617.7,6714170,50,,-9999,-9999,U,uralitized,Basalt,JAH,JA Hallberg,CSIR,506000,5700,143000,24000,83000,1800,79000,97000,32700,1800,600,26000,1000,57,217,90,127,4,146,234,26,87,45,BASALT
15,1066,BARLEE,BARLEE,722087.3,6714550,50,,-9999,-9999,U,uralitized,Basalt,JAH,JA Hallberg,CSIR,525000,5700,129000,27000,66000,2000,86000,115000,28900,1100,600,17000,0.01,45,349,98,113,3,67,185,15,71,41,BASALT
16,1067,BARLEE,BARLEE,722087.3,6714550,50,,-9999,-9999,EU,epidotized; uralitized,Basalt,JAH,JA Hallberg,CSIR,510000,5500,127000,25000,65000,1800,81000,143000,16400,700,600,21000,4000,46,331,30,114,9,102,197,20,67,43,BASALT
25,1136,BARLEE,BARLEE,721189.5,6715400,50,,-9999,-9999,VR,variolitic; recrystallized,Basalt,JAH,JA Hallberg,CSIR,565000,8900,107000,22000,70000,1700,74000,90000,32600,2300,1100,16000,0.01,40,502,30,88,5,92,285,23,50,79,BASALT
26,1137,BARLEE,BARLEE,719363.4,6715559,50,,-9999,-9999,U,uralitized,Basalt,JAH,JA Hallberg,CSIR,527000,11200,126000,26000,87000,1800,76000,73000,54700,1300,1300,18000,0.01,50,356,61,118,3,287,300,22,80,99,BASALT
